iter	RMSE
345	293018.2398
346	291409.3317
347	289359.5498
348	288798.5941
349	286762.6423
350	284942.7187
351	282833.3561
352	280647.2856
353	278587.0675
354	276580.0898
355	274794.0781
356	272677.1607
357	272142.3421
358	270209.403
359	268256.3391
360	266240.0389
361	264418.3199
362	263691.1074
363	261817.2133
364	259987.7226
365	258170.7272
366	256288.0946
367	254885.5361
368	253095.2988
369	251288.2466
370	249394.1316
371	247651.5385
372	245924.1787
373	244249.6071
374	242673.289
375	240895.8467
376	239121.2948
377	237424.4365
378	237027.4007
379	235223.1036
380	233589.9351
381	232694.7637
382	232333.8717
383	230693.6306
384	229046.6794
385	227330.546
386	225856.2235
387	224333.2218
388	222669.5357
389	221107.3192
390	219649.2067
391	218136.9476
392	216621.7795
393	215064.8241
394	213545.2086
395	212077.42
396	210689.4152
397	209203.5334
398	207768.9439
399	206396.2474
400	204934.9267
401	203467.9115
402	202157.7605
403	200783.4809
404	199395.216
405	198816.2758
406	197365.4817
407	196046.9065
408	194583.2346
409	193238.1962
410	191875.7921
411	190549.8565
412	189348.008
413	188077.9522
414	186733.138
415	185365.3478
416	184026.7813
417	182641.4633
418	181250.3912
419	179933.683
420	178622.6245
421	177461.9853
422	176424.6993
423	175159.4538
424	173875.426
425	172537.3734
426	171297.6247
427	170016.7735
428	168810.9924
429	167604.4058
430	166703.4898
431	165771.7938
432	164561.0013
433	163570.231
434	162459.5701
435	161405.331
436	160370.039
437	159620.3019
438	158631.1065
439	157484.3278
440	156422.2248
441	155383.6343
442	154223.305
443	153298.1871
444	152229.8903
445	151105.7513
446	150102.3751
447	149037.7985
448	148111.7867
449	147182.9561
450	146126.0446
451	145302.8795
452	144318.3278
453	143292.9917
454	142246.6415
455	141245.6069
456	140298.4733
457	139379.2697
458	138452.5191
459	137470.5236
460	136552.3134
461	136293.8109
462	135314.6935
463	134337.1359
464	133393.9812
465	132415.9603
466	131549.3076
467	130607.6384
468	129668.766
469	129458.3222
470	128507.3226
471	127614.8341
472	126643.2467
